alpha,seed,F_0,n_certify,F_hat_final,W_max,certified,n_max
0.0,201,0.9,64,0.9911,1.0,True,10000
0.0,201,0.95,223,0.9911,1.0,True,10000
0.0,202,0.9,116,0.9881,1.0,True,10000
0.0,202,0.95,233,0.9881,1.0,True,10000
0.0,203,0.9,64,0.9906,1.0,True,10000
0.0,203,0.95,125,0.9906,1.0,True,10000
0.1,201,0.9,102,0.9908797742575407,1.1111111111111112,True,10000
0.1,201,0.95,244,0.9908797742575407,1.1111111111111112,True,10000
0.1,202,0.9,96,0.9917529887974262,1.1111111111111112,True,10000
0.1,202,0.95,190,0.9917529887974262,1.1111111111111112,True,10000
0.1,203,0.9,70,0.9907630361676216,1.1111111111111112,True,10000
0.1,203,0.95,138,0.9907630361676216,1.1111111111111112,True,10000
0.2,201,0.9,130,0.9911774992585182,1.25,True,10000
0.2,201,0.95,261,0.9911774992585182,1.25,True,10000
0.2,202,0.9,101,0.9913649093776942,1.25,True,10000
0.2,202,0.95,199,0.9913649093776942,1.25,True,10000
0.2,203,0.9,79,0.9904603369146585,1.25,True,10000
0.2,203,0.95,155,0.9904603369146585,1.25,True,10000
0.3,201,0.9,141,0.9911607472829521,1.4285714285714286,True,10000
0.3,201,0.95,283,0.9911607472829521,1.4285714285714286,True,10000
0.3,202,0.9,113,0.9913779479071498,1.4285714285714286,True,10000
0.3,202,0.95,225,0.9913779479071498,1.4285714285714286,True,10000
0.3,203,0.9,121,0.9900922178074717,1.4285714285714286,True,10000
0.3,203,0.95,240,0.9900922178074717,1.4285714285714286,True,10000
0.5,201,0.9,178,0.9910340977411717,2.0,True,10000
0.5,201,0.95,356,0.9910340977411717,2.0,True,10000
0.5,202,0.9,140,0.9923300213435665,2.0,True,10000
0.5,202,0.95,280,0.9923300213435665,2.0,True,10000
0.5,203,0.9,156,0.9901549927461892,2.0,True,10000
0.5,203,0.95,328,0.9901549927461892,2.0,True,10000
0.7,201,0.9,259,0.9901150997247081,3.333333333333333,True,10000
0.7,201,0.95,575,0.9901150997247081,3.333333333333333,True,10000
0.7,202,0.9,217,0.9926432227502577,3.333333333333333,True,10000
0.7,202,0.95,444,0.9926432227502577,3.333333333333333,True,10000
0.7,203,0.9,255,0.9887470497155562,3.333333333333333,True,10000
0.7,203,0.95,691,0.9887470497155562,3.333333333333333,True,10000
