method,keep,mask_p,sampling,cs_type,F_0,n_certify,certified
cip-affine,512,0.1,iid,hoeffding,0.9,889,True
cip-affine,512,0.1,iid,hoeffding,0.95,4172,True
cip-affine,512,0.1,iid,hoeffding,0.99,10000,False
cip-affine,512,0.1,iid,betting,0.9,64,True
cip-affine,512,0.1,iid,betting,0.95,125,True
cip-affine,512,0.1,iid,betting,0.99,613,True
cip-affine,512,0.1,adaptive,hoeffding,0.9,1976,True
cip-affine,512,0.1,adaptive,hoeffding,0.95,9156,True
cip-affine,512,0.1,adaptive,hoeffding,0.99,10000,False
cip-affine,512,0.1,adaptive,betting,0.9,90,True
cip-affine,512,0.1,adaptive,betting,0.95,177,True
cip-affine,512,0.1,adaptive,betting,0.99,875,True
cip-affine,512,0.2,iid,hoeffding,0.9,889,True
cip-affine,512,0.2,iid,hoeffding,0.95,4172,True
cip-affine,512,0.2,iid,hoeffding,0.99,10000,False
cip-affine,512,0.2,iid,betting,0.9,64,True
cip-affine,512,0.2,iid,betting,0.95,125,True
cip-affine,512,0.2,iid,betting,0.99,613,True
cip-affine,512,0.2,adaptive,hoeffding,0.9,1976,True
cip-affine,512,0.2,adaptive,hoeffding,0.95,9156,True
cip-affine,512,0.2,adaptive,hoeffding,0.99,10000,False
cip-affine,512,0.2,adaptive,betting,0.9,90,True
cip-affine,512,0.2,adaptive,betting,0.95,177,True
cip-affine,512,0.2,adaptive,betting,0.99,875,True
cip-affine,512,0.5,iid,hoeffding,0.9,889,True
cip-affine,512,0.5,iid,hoeffding,0.95,4172,True
cip-affine,512,0.5,iid,hoeffding,0.99,10000,False
cip-affine,512,0.5,iid,betting,0.9,64,True
cip-affine,512,0.5,iid,betting,0.95,125,True
cip-affine,512,0.5,iid,betting,0.99,613,True
cip-affine,512,0.5,adaptive,hoeffding,0.9,1976,True
cip-affine,512,0.5,adaptive,hoeffding,0.95,9156,True
cip-affine,512,0.5,adaptive,hoeffding,0.99,10000,False
cip-affine,512,0.5,adaptive,betting,0.9,90,True
cip-affine,512,0.5,adaptive,betting,0.95,177,True
cip-affine,512,0.5,adaptive,betting,0.99,875,True
cip-affine,384,0.1,iid,hoeffding,0.9,1081,True
cip-affine,384,0.1,iid,hoeffding,0.95,6746,True
cip-affine,384,0.1,iid,hoeffding,0.99,10000,False
cip-affine,384,0.1,iid,betting,0.9,93,True
cip-affine,384,0.1,iid,betting,0.95,233,True
cip-affine,384,0.1,iid,betting,0.99,10000,False
cip-affine,384,0.1,adaptive,hoeffding,0.9,2591,True
cip-affine,384,0.1,adaptive,hoeffding,0.95,10000,False
cip-affine,384,0.1,adaptive,hoeffding,0.99,10000,False
