method,keep,mask_p,sampling,cs_type,n,r_hat,radius,lcb_f,ucb_f
cip-affine,512,0.1,iid,hoeffding,50,0.0,0.34656349731962505,0.653436502680375,1.0
cip-affine,512,0.1,iid,hoeffding,100,0.0,0.25881383394788676,0.7411861660521133,1.0
cip-affine,512,0.1,iid,hoeffding,200,0.0,0.19224473002972509,0.8077552699702749,1.0
cip-affine,512,0.1,iid,hoeffding,500,0.0,0.12890227287922065,0.8710977271207794,1.0
cip-affine,512,0.1,iid,hoeffding,1000,0.0,0.09487383810763891,0.9051261618923611,1.0
cip-affine,512,0.1,iid,hoeffding,2000,0.0,0.06962108997220032,0.9303789100277997,1.0
cip-affine,512,0.1,iid,hoeffding,5000,0.0,0.046066219879014554,0.9539337801209854,1.0
cip-affine,512,0.1,iid,hoeffding,10000,0.0,0.03362087186595333,0.9663791281340467,1.0
cip-affine,512,0.1,iid,betting,50,0.0,0.06363296508789062,0.8727340698242188,1.0
cip-affine,512,0.1,iid,betting,100,0.0,0.031154632568359375,0.9376907348632812,1.0
cip-affine,512,0.1,iid,betting,200,0.0,0.01541900634765625,0.9691619873046875,1.0
cip-affine,512,0.1,iid,betting,500,0.0,0.006130218505859375,0.9877395629882812,1.0
cip-affine,512,0.1,iid,betting,1000,0.0,0.00305938720703125,0.9938812255859375,1.0
cip-affine,512,0.1,iid,betting,2000,0.0,0.001529693603515625,0.9969406127929688,1.0
cip-affine,512,0.1,iid,betting,5000,0.0,0.000614166259765625,0.9987716674804688,1.0
cip-affine,512,0.1,iid,betting,10000,0.0,0.0,1.0,1.0
cip-affine,512,0.1,adaptive,hoeffding,50,0.0,0.49509071045660724,0.5049092895433928,1.0
cip-affine,512,0.1,adaptive,hoeffding,100,0.0,0.3697340484969811,0.6302659515030189,1.0
cip-affine,512,0.1,adaptive,hoeffding,200,0.0,0.274635328613893,0.725364671386107,1.0
cip-affine,512,0.1,adaptive,hoeffding,500,0.0,0.18414610411317237,0.8158538958868277,1.0
cip-affine,512,0.1,adaptive,hoeffding,1000,0.0,0.13553405443948416,0.8644659455605158,1.0
cip-affine,512,0.1,adaptive,hoeffding,2000,0.0,0.09945869996028617,0.9005413000397138,1.0
cip-affine,512,0.1,adaptive,hoeffding,5000,0.0,0.06580888554144937,0.9341911144585506,1.0
cip-affine,512,0.1,adaptive,hoeffding,10000,0.0,0.04802981695136191,0.9519701830486381,1.0
cip-affine,512,0.1,adaptive,betting,50,0.0,0.09090423583984375,0.8181915283203125,1.0
cip-affine,512,0.1,adaptive,betting,100,0.0,0.044506617954799106,0.9109867640904018,1.0
cip-affine,512,0.1,adaptive,betting,200,0.0,0.022027151925223216,0.9559456961495536,1.0
cip-affine,512,0.1,adaptive,betting,500,0.0,0.008757455008370536,0.9824850899832589,1.0
cip-affine,512,0.1,adaptive,betting,1000,0.0,0.004370553152901786,0.9912588936941964,1.0
cip-affine,512,0.1,adaptive,betting,2000,0.0,0.002185276576450893,0.9956294468470982,1.0
cip-affine,512,0.1,adaptive,betting,5000,0.0,0.00087738037109375,0.9982452392578125,1.0
cip-affine,512,0.1,adaptive,betting,10000,0.0,0.0,1.0,1.0
cip-affine,512,0.2,iid,hoeffding,50,0.0,0.34656349731962505,0.653436502680375,1.0
cip-affine,512,0.2,iid,hoeffding,100,0.0,0.25881383394788676,0.7411861660521133,1.0
cip-affine,512,0.2,iid,hoeffding,200,0.0,0.19224473002972509,0.8077552699702749,1.0
cip-affine,512,0.2,iid,hoeffding,500,0.0,0.12890227287922065,0.8710977271207794,1.0
cip-affine,512,0.2,iid,hoeffding,1000,0.0,0.09487383810763891,0.9051261618923611,1.0
cip-affine,512,0.2,iid,hoeffding,2000,0.0,0.06962108997220032,0.9303789100277997,1.0
cip-affine,512,0.2,iid,hoeffding,5000,0.0,0.046066219879014554,0.9539337801209854,1.0
cip-affine,512,0.2,iid,hoeffding,10000,0.0,0.03362087186595333,0.9663791281340467,1.0
cip-affine,512,0.2,iid,betting,50,0.0,0.06363296508789062,0.8727340698242188,1.0
cip-affine,512,0.2,iid,betting,100,0.0,0.031154632568359375,0.9376907348632812,1.0
cip-affine,512,0.2,iid,betting,200,0.0,0.01541900634765625,0.9691619873046875,1.0
cip-affine,512,0.2,iid,betting,500,0.0,0.006130218505859375,0.9877395629882812,1.0
cip-affine,512,0.2,iid,betting,1000,0.0,0.00305938720703125,0.9938812255859375,1.0
cip-affine,512,0.2,iid,betting,2000,0.0,0.001529693603515625,0.9969406127929688,1.0
cip-affine,512,0.2,iid,betting,5000,0.0,0.000614166259765625,0.9987716674804688,1.0
cip-affine,512,0.2,iid,betting,10000,0.0,0.0,1.0,1.0
cip-affine,512,0.2,adaptive,hoeffding,50,0.0,0.49509071045660724,0.5049092895433928,1.0
cip-affine,512,0.2,adaptive,hoeffding,100,0.0,0.3697340484969811,0.6302659515030189,1.0
cip-affine,512,0.2,adaptive,hoeffding,200,0.0,0.274635328613893,0.725364671386107,1.0
cip-affine,512,0.2,adaptive,hoeffding,500,0.0,0.18414610411317237,0.8158538958868277,1.0
cip-affine,512,0.2,adaptive,hoeffding,1000,0.0,0.13553405443948416,0.8644659455605158,1.0
cip-affine,512,0.2,adaptive,hoeffding,2000,0.0,0.09945869996028617,0.9005413000397138,1.0
cip-affine,512,0.2,adaptive,hoeffding,5000,0.0,0.06580888554144937,0.9341911144585506,1.0
cip-affine,512,0.2,adaptive,hoeffding,10000,0.0,0.04802981695136191,0.9519701830486381,1.0
cip-affine,512,0.2,adaptive,betting,50,0.0,0.09090423583984375,0.8181915283203125,1.0
cip-affine,512,0.2,adaptive,betting,100,0.0,0.044506617954799106,0.9109867640904018,1.0
cip-affine,512,0.2,adaptive,betting,200,0.0,0.022027151925223216,0.9559456961495536,1.0
cip-affine,512,0.2,adaptive,betting,500,0.0,0.008757455008370536,0.9824850899832589,1.0
cip-affine,512,0.2,adaptive,betting,1000,0.0,0.004370553152901786,0.9912588936941964,1.0
cip-affine,512,0.2,adaptive,betting,2000,0.0,0.002185276576450893,0.9956294468470982,1.0
cip-affine,512,0.2,adaptive,betting,5000,0.0,0.00087738037109375,0.9982452392578125,1.0
cip-affine,512,0.2,adaptive,betting,10000,0.0,0.0,1.0,1.0
cip-affine,512,0.5,iid,hoeffding,50,0.0,0.34656349731962505,0.653436502680375,1.0
cip-affine,512,0.5,iid,hoeffding,100,0.0,0.25881383394788676,0.7411861660521133,1.0
cip-affine,512,0.5,iid,hoeffding,200,0.0,0.19224473002972509,0.8077552699702749,1.0
cip-affine,512,0.5,iid,hoeffding,500,0.0,0.12890227287922065,0.8710977271207794,1.0
cip-affine,512,0.5,iid,hoeffding,1000,0.0,0.09487383810763891,0.9051261618923611,1.0
cip-affine,512,0.5,iid,hoeffding,2000,0.0,0.06962108997220032,0.9303789100277997,1.0
cip-affine,512,0.5,iid,hoeffding,5000,0.0,0.046066219879014554,0.9539337801209854,1.0
cip-affine,512,0.5,iid,hoeffding,10000,0.0,0.03362087186595333,0.9663791281340467,1.0
cip-affine,512,0.5,iid,betting,50,0.0,0.06363296508789062,0.8727340698242188,1.0
