circuit_size,circuit_nodes,sampling,cs_type,threshold,n_certify,certified,final_lcb
3,L9H9;L10H0;L9H6,iid,hoeffding,0.8,296,True,0.8944660608111683
3,L9H9;L10H0;L9H6,iid,betting,0.8,41,True,0.9585411782515489
3,L9H9;L10H0;L9H6,iid,hoeffding,0.9,2000,False,0.8944660608111683
3,L9H9;L10H0;L9H6,iid,betting,0.9,110,True,0.9585411782515489
3,L9H9;L10H0;L9H6,iid,hoeffding,0.95,2000,False,0.8944660608111683
3,L9H9;L10H0;L9H6,iid,betting,0.95,840,True,0.9585411782515489
3,L9H9;L10H0;L9H6,adaptive,hoeffding,0.8,510,True,0.8607273835694382
3,L9H9;L10H0;L9H6,adaptive,betting,0.8,62,True,0.9297041019198689
3,L9H9;L10H0;L9H6,adaptive,hoeffding,0.9,2000,False,0.8607273835694382
3,L9H9;L10H0;L9H6,adaptive,betting,0.9,181,True,0.9297041019198689
3,L9H9;L10H0;L9H6,adaptive,hoeffding,0.95,2000,False,0.8607273835694382
3,L9H9;L10H0;L9H6,adaptive,betting,0.95,2000,False,0.9297041019198689
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,0.8,312,True,0.8894923787413261
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,0.8,47,True,0.9532960919463507
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,0.9,2000,False,0.8894923787413261
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,0.9,118,True,0.9532960919463507
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,0.95,2000,False,0.8894923787413261
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,0.95,1545,True,0.9532960919463507
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,0.8,510,True,0.8599769998518914
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,0.8,64,True,0.9308367978409845
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,0.9,2000,False,0.8599769998518914
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,0.9,189,True,0.9308367978409845
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,0.95,2000,False,0.8599769998518914
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,0.95,2000,False,0.9308367978409845
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,0.8,263,True,0.9007060946768924
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,0.8,38,True,0.9647527189352807
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,0.9,1973,True,0.9007060946768924
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,0.9,104,True,0.9647527189352807
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,0.95,2000,False,0.9007060946768924
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,0.95,413,True,0.9647527189352807
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,0.8,486,True,0.8745839743709272
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,0.8,61,True,0.9400962407958882
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,0.9,2000,False,0.8745839743709272
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,0.9,167,True,0.9400962407958882
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,0.95,2000,False,0.8745839743709272
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,0.95,2000,False,0.9400962407958882
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,0.8,263,True,0.9011172948508571
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,0.8,38,True,0.9651911813758491
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,0.9,1954,True,0.9011172948508571
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,0.9,104,True,0.9651911813758491
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,0.95,2000,False,0.9011172948508571
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,0.95,369,True,0.9651911813758491
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,0.8,485,True,0.8744682312671974
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,0.8,61,True,0.9395535640410719
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,0.9,2000,False,0.8744682312671974
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,0.9,162,True,0.9395535640410719
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,0.95,2000,False,0.8744682312671974
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,0.95,2000,False,0.9395535640410719
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,0.8,260,True,0.9023699787546092
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,0.8,38,True,0.9664737854387484
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,0.9,1875,True,0.9023699787546092
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,0.9,102,True,0.9664737854387484
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,0.95,2000,False,0.9023699787546092
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,0.95,357,True,0.9664737854387484
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,adaptive,hoeffding,0.8,462,True,0.8753016237960658
