circuit_size,circuit_nodes,sampling,cs_type,n,mu_hat,radius,lcb_mu,ucb_mu
3,L9H9;L10H0;L9H6,iid,hoeffding,10,0.9815369482282967,0.6630139494223621,0.3185229988059346,1.6445508976506589
3,L9H9;L10H0;L9H6,iid,betting,10,0.9815369482282967,0.40530001642383545,0.1893999671523291,1.0
3,L9H9;L10H0;L9H6,iid,hoeffding,20,0.9757755083141488,0.5044314696688903,0.47134403864525853,1.4802069779830391
3,L9H9;L10H0;L9H6,iid,betting,20,0.9757755083141488,0.18382139882194348,0.632357202356113,1.0
3,L9H9;L10H0;L9H6,iid,hoeffding,50,0.9454016664443441,0.34656349731962505,0.5988381691247191,1.291965163763969
3,L9H9;L10H0;L9H6,iid,betting,50,0.9454016664443441,0.09416221493410126,0.8116755701317975,1.0
3,L9H9;L10H0;L9H6,iid,hoeffding,100,0.9617079923929804,0.2588138339478868,0.7028941584450936,1.2205218263408673
3,L9H9;L10H0;L9H6,iid,betting,100,0.9617079923929804,0.05361273425903057,0.8927745314819389,1.0
3,L9H9;L10H0;L9H6,iid,hoeffding,200,0.9646567262134935,0.19224473002972509,0.7724119961837684,1.1569014562432187
3,L9H9;L10H0;L9H6,iid,betting,200,0.9646567262134935,0.034192355251807804,0.92883683877391,0.9972215492775256
3,L9H9;L10H0;L9H6,iid,hoeffding,500,0.9612378887990689,0.12890227287922065,0.8323356159198483,1.0901401616782895
3,L9H9;L10H0;L9H6,iid,betting,500,0.9612378887990689,0.015672543224233115,0.9454411784988279,0.9767862649472941
3,L9H9;L10H0;L9H6,iid,hoeffding,1000,0.9607539647541162,0.09487383810763891,0.8658801266464773,1.0556278028617552
3,L9H9;L10H0;L9H6,iid,betting,1000,0.9607539647541162,0.008825933255956708,0.9512176724251284,0.9688695389370419
3,L9H9;L10H0;L9H6,iid,hoeffding,2000,0.9640871507833686,0.06962108997220032,0.8944660608111683,1.0337082407555689
3,L9H9;L10H0;L9H6,iid,betting,2000,0.9640871507833686,0.005284956798274232,0.9585411782515489,0.9691110918480974
3,L9H9;L10H0;L9H6,adaptive,hoeffding,10,0.9364872521118848,0.9471627848890888,-0.010675532777204011,1.8836500370009737
3,L9H9;L10H0;L9H6,adaptive,betting,10,0.9364872521118847,0.5,0.0,1.0
3,L9H9;L10H0;L9H6,adaptive,hoeffding,20,0.9591565490038148,0.7206163852412719,0.23854016376254283,1.6797729342450867
3,L9H9;L10H0;L9H6,adaptive,betting,20,0.9591565490038145,0.263895366856891,0.47220926628621795,1.0
3,L9H9;L10H0;L9H6,adaptive,hoeffding,50,0.9422044976785152,0.49509071045660724,0.447113787221908,1.4372952081351225
3,L9H9;L10H0;L9H6,adaptive,betting,50,0.9422044976785151,0.12175814621850517,0.7564837075629897,1.0
3,L9H9;L10H0;L9H6,adaptive,hoeffding,100,0.9813304044398642,0.36973404849698116,0.611596355942883,1.3510644529368454
3,L9H9;L10H0;L9H6,adaptive,betting,100,0.9813304044398647,0.06071403896406247,0.8785719220718751,1.0
3,L9H9;L10H0;L9H6,adaptive,hoeffding,200,0.9812802777287452,0.274635328613893,0.7066449491148521,1.2559156063426382
3,L9H9;L10H0;L9H6,adaptive,betting,200,0.9812802777287446,0.045261728596627915,0.9094765428067442,1.0
3,L9H9;L10H0;L9H6,adaptive,hoeffding,500,0.9792809551653097,0.18414610411317237,0.7951348510521373,1.1634270592784821
3,L9H9;L10H0;L9H6,adaptive,betting,500,0.9792809551653129,0.03922123452827192,0.9215575309434562,1.0
3,L9H9;L10H0;L9H6,adaptive,hoeffding,1000,0.9689366867444196,0.13553405443948416,0.8334026323049354,1.1044707411839036
3,L9H9;L10H0;L9H6,adaptive,betting,1000,0.9689366867444135,0.03635604815732674,0.9272879036853465,1.0
3,L9H9;L10H0;L9H6,adaptive,hoeffding,2000,0.9601860835297243,0.09945869996028617,0.8607273835694382,1.0596447834900105
3,L9H9;L10H0;L9H6,adaptive,betting,2000,0.960186083529726,0.031536135255231856,0.9297041019198689,0.9927763724303326
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,10,0.9749005454452622,0.6630139494223621,0.31188659602290003,1.6379144948676243
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,10,0.9749005454452622,0.40903819106656775,0.1819236178668645,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,20,0.9716600210187009,0.5044314696688903,0.46722855134981056,1.4760914906875913
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,20,0.9716600210187009,0.18604821990850462,0.6279035601829908,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,50,0.9384601694339189,0.34656349731962505,0.5918966721142938,1.285023666753544
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,50,0.9384601694339189,0.09810503387008657,0.8037899322598269,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,100,0.9546505172436822,0.2588138339478868,0.6958366832957954,1.213464351191569
